,objectid,acc_id,longitude,latitude,crash_date,crash_time,severity
92884,24386424,9927497,116.08087900000001,-32.839316,21/01/2019,1111.0,Fatal
92885,24386425,9927501,114.660486,-28.863213000000002,18/01/2019,800.0,Fatal
92886,24386426,9927505,116.62716599999999,-31.6636,18/01/2019,1627.0,Fatal
92932,24386472,9938359,119.429837,-31.050116,12/02/2019,1120.0,Fatal
92937,24386477,9938466,115.852686,-31.950189,19/02/2019,1304.0,Fatal
92939,24386479,9938605,115.879079,-32.559652,23/02/2019,1515.0,Fatal
92940,24386480,9938609,115.36453600000002,-33.749479,22/02/2019,1042.0,Fatal
92941,24386481,9938613,118.31816,-20.692229,21/02/2019,1127.0,Fatal
92945,24386485,9938709,115.74479,-32.537464,28/02/2019,1043.0,Fatal
92946,24386486,9938713,116.060341,-33.435209,28/02/2019,2249.0,Fatal
93294,24386834,9949398,116.01363500000001,-32.116822,7/03/2019,1038.0,Fatal
93295,24386835,9949580,117.83944,-22.923143,29/01/2019,2030.0,Fatal
93369,24386909,9918261,116.01510400000001,-32.114342,12/01/2019,726.0,Fatal
93370,24386910,9918265,115.451125,-33.63893,11/01/2019,1315.0,Fatal
93371,24386911,9918269,116.167026,-31.902033000000003,10/01/2019,903.0,Fatal
93372,24386912,9918368,118.724433,-22.311481,14/01/2019,947.0,Fatal
93428,24386968,9928446,121.477999,-30.742328000000004,6/02/2019,2151.0,Fatal
93432,24386972,9928575,115.652957,-31.573415999999998,8/02/2019,1030.0,Fatal
95048,24388588,9953330,114.78294199999999,-28.974193,17/03/2019,1457.0,Fatal
95050,24388590,9953338,115.70955,-32.543908,16/03/2019,2030.0,Fatal
95056,24388596,9953467,115.864645,-32.581152,24/03/2019,1715.0,Fatal
